Date,Username,User tag,Content,Mentions,link
"2022-01-25,00:50:33","Fluffel","#6402","Super rough sketch of assignment A, my topic was social anxiety","","https://cdn.discordapp.com/attachments/746160858555613356/935456600943104020/PXL_20220125_0848441802.jpg"
"2022-01-25,00:50:36","Fluffel","#6402","Lmk anything I should change or add lol","",""
"2022-01-25,00:55:12","Fluffel","#6402","It's still in the early stages and tbh I had another idea with a man in a mesh mask dancing with a skeleton lol","",""
"2022-01-25,06:05:41","FryingHamster","#6043","so youâ€™re portraying social anxiety as walking a tightrope?","",""
"2022-01-25,06:05:53","FryingHamster","#6043","also what us going on below the tightrope?","",""
"2022-01-25,06:58:32","Fluffel","#6402","Yeah","",""
"2022-01-25,07:04:04","Fluffel","#6402","Below I was going to draw some pedestrians","",""
"2022-01-25,07:04:33","Fluffel","#6402","There was something I was going to do but the sketch doesn't show it lol","",""
"2022-01-25,07:27:50","FryingHamster","#6043","i think you can push the metaphor a bit further than pedestrians","",""
"2022-01-25,07:27:52","FryingHamster","#6043","https://www.youtube.com/watch?v=T3hTwgDy_Ww","",""
"2022-01-25,07:35:27","Fluffel","#6402","I was planning on doing that","",""
"2022-01-25,07:36:07","Fluffel","#6402","Like I wanted to either make a shadow, make the tightrope, and make the hands kind of like a window into everyone mocking you or something","",""
"2022-01-25,07:39:57","FryingHamster","#6043","for sure","",""
"2022-01-25,07:40:17","FryingHamster","#6043","i would be a few thumbnails of your ideas because i think the background will sell this piece or not","",""
"2022-01-25,07:40:23","FryingHamster","#6043","would make*","",""
"2022-01-25,07:40:58","Fluffel","#6402","honestly yeah, I'm probably going to thumbnail after class or something","",""
